# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 341K of event 'cycles'
# Event count (approx.): 225467342757
#
# Overhead  Command  Shared Object      Symbol                                     
# ........  .......  .................  ...........................................
#
     0.00%  pigz     [kernel.kallsyms]  [k] native_read_msr_safe                   
     0.00%  pigz     [kernel.kallsyms]  [k] __rmqueue                              
     0.00%  pigz     [kernel.kallsyms]  [k] start_this_handle                      
     0.00%  pigz     libc-2.19.so       [.] memset                                 
     0.00%  pigz     [kernel.kallsyms]  [k] local_apic_timer_interrupt             
     0.00%  pigz     [kernel.kallsyms]  [k] native_apic_msr_eoi_write              
     0.00%  pigz     [kernel.kallsyms]  [k] clockevents_program_event              
     0.00%  pigz     libm-2.19.so       [.] __log                                  
     0.00%  pigz     [kernel.kallsyms]  [k] ret_from_intr                          
     0.00%  pigz     libm-2.19.so       [.] @plt                                   
     0.00%  pigz     [kernel.kallsyms]  [k] __update_cpu_load                      
     0.00%  pigz     [kernel.kallsyms]  [k] __slab_alloc                           
     0.00%  pigz     [kernel.kallsyms]  [k] intel_pmu_disable_all                  
     0.00%  pigz     [kernel.kallsyms]  [k] detach_if_pending                      
     0.00%  pigz     pigz               [.] EstimateCost                           
     0.00%  pigz     [kernel.kallsyms]  [k] msecs_to_jiffies                       
     0.00%  pigz     [kernel.kallsyms]  [k] packet_rcv                             
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_phy_11b_rssi_WAR                   
     0.00%  pigz     [kernel.kallsyms]  [k] cpuacct_account_field                  
     0.00%  pigz     [kernel.kallsyms]  [k] swiotlb_tbl_map_single                 
     0.00%  pigz     [kernel.kallsyms]  [k] ipv4_dst_check                         
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_wme_downgrade_fifo                 
     0.00%  pigz     [kernel.kallsyms]  [k] restore_args                           
     0.00%  pigz     [kernel.kallsyms]  [k] _raw_spin_unlock                       
     0.00%  pigz     [kernel.kallsyms]  [k] rcu_bh_qs                              
     0.00%  pigz     [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore            
     0.00%  pigz     [kernel.kallsyms]  [k] memcpy                                 
     0.00%  pigz     [kernel.kallsyms]  [k] dma_txpioloopback                      
     0.00%  pigz     [kernel.kallsyms]  [k] do_IRQ                                 
     0.00%  pigz     [kernel.kallsyms]  [k] perf_adjust_freq_unthr_context.part.78 
     0.00%  pigz     [kernel.kallsyms]  [k] sched_avg_update                       
     0.00%  pigz     [kernel.kallsyms]  [k] intel_pstate_timer_func                
     0.00%  pigz     [kernel.kallsyms]  [k] wlc_sendpkt                            
